Time(S),X,Y,Z,Action,RSSI(dBm),PacketLoss(%),UDPSuccessRate(%),AverageDelay(ms)
0.5000,4,0,10,+x,-37.4793,3.6703,96.3297,1.0699
1.0000,8,0,10,+x,-41.0800,3.0523,96.9477,0.5512
1.5000,8,-4,10,-y,-42.5970,2.8224,97.1776,0.4315
2.0000,8,-8,10,-y,-44.7634,2.0326,97.9674,0.3783
2.5000,12,-8,10,+x,-46.1948,2.8806,97.1194,0.3483
3.0000,12,-12,10,-y,-42.8222,3.8356,96.1644,0.3290
3.5000,16,-12,10,+x,-50.9808,3.2652,96.7348,0.3155
4.0000,20,-12,10,+x,-47.2409,3.2454,96.7546,0.3056
4.5000,24,-12,10,+x,-44.7477,2.5462,97.4538,0.2980
5.0000,28,-12,10,+x,-48.8589,2.2402,97.7598,0.2919
5.5000,28,-16,10,-y,-47.3496,3.6344,96.3656,0.2870
6.0000,28,-20,10,-y,-50.4930,3.2500,96.7500,0.2830
6.5000,28,-24,10,-y,-54.1867,3.7105,96.2895,0.2796
7.0000,28,-28,10,-y,-48.8554,2.9057,97.0943,0.2767
7.5000,28,-32,10,-y,-57.6066,3.3654,96.6346,0.2742
8.0000,28,-36,10,-y,-49.9980,3.2015,96.7985,0.2720
8.5000,28,-40,10,-y,-49.5116,3.2847,96.7153,0.2701
9.0000,32,-40,10,+x,-50.9987,3.9642,96.0358,0.2684
9.5000,36,-40,10,+x,-59.1484,3.6118,96.3882,0.2669
10.0000,36,-44,10,-y,-55.0827,3.1594,96.8406,0.2655
10.5000,40,-44,10,+x,-58.3911,3.8948,96.1052,0.2643
11.0000,40,-48,10,-y,-57.6160,3.2310,96.7690,0.2639
11.5000,44,-48,10,+x,-57.6113,2.3765,97.6235,0.2637
12.0000,48,-48,10,+x,-58.0791,3.8105,96.1895,0.2656
12.5000,48,-52,10,-y,-52.4974,2.0465,97.9535,0.2678
13.0000,52,-52,10,+x,-57.5304,3.2094,96.7906,0.2699
13.5000,52,-52,6,-z,-58.8397,2.1203,97.8797,0.2718
14.0000,56,-52,6,+x,-59.6601,2.8848,97.1152,0.2735
14.5000,56,-56,6,-y,-53.7785,2.2044,97.7956,0.2752
15.0000,60,-56,6,+x,-56.3004,3.7458,96.2542,0.2767
15.5000,60,-56,2,-z,-58.5558,2.6428,97.3572,0.2781
