Time(S),X,Y,Z,Action,RSSI(dBm),PacketLoss(%)
1,0,-4,0,3,-32.0412,0
2,0,-8,0,3,-38.0618,0
3,0,-12,0,3,-41.5836,0
4,0,-16,0,3,-44.0824,0
5,0,-20,0,3,-46.0206,0
6,0,-24,0,3,-47.6042,0
7,4,-24,0,0,-47.7232,0
8,8,-24,0,0,-48.0618,0
9,8,-28,0,3,-49.284,0
10,8,-32,0,3,-50.3663,0
11,8,-36,0,3,-51.3354,0
12,8,-40,0,3,-52.2115,0
13,8,-44,0,3,-53.0103,0
14,12,-44,0,0,-53.1806,0
15,16,-44,0,0,-53.4084,0
16,20,-44,0,0,-53.6847,0
17,24,-44,0,0,-54.0002,0
18,24,-48,0,3,-54.5939,0
19,28,-48,0,0,-54.8968,0
20,28,-52,0,3,-55.4258,0
21,32,-52,0,0,-55.7148,0
22,36,-52,0,0,-56.0206,0
23,40,-52,0,0,-56.3387,0
24,40,-56,0,3,-56.7541,0
25,44,-56,0,0,-57.0518,0
