Time,X,Y,Z,Action,RSSI,PacketLoss(%)
1,4,0,10,0,-40.6446,0
2,4,-4,10,3,-41.2057,0
3,8,-4,10,0,-42.5527,0
4,8,-8,10,3,-43.5793,0
5,8,-12,10,3,-44.8855,0
6,8,-16,10,3,-46.2325,0
7,8,-20,10,3,-47.5128,0
8,8,-24,10,3,-48.6923,0
9,8,-28,10,3,-49.7681,0
10,8,-32,10,3,-50.7482,0
11,12,-32,10,0,-51.0312,0
12,12,-36,10,3,-51.8752,0
13,12,-40,10,3,-52.6576,0
14,12,-44,10,3,-53.3846,0
15,12,-48,10,3,-54.062,0
16,16,-48,10,0,-54.2488,0
17,16,-52,10,3,-54.8572,0
18,16,-56,10,3,-55.4307,0
19,16,-60,10,3,-55.9726,0
20,16,-60,10,3,-55.9726,0
21,16,-60,10,3,-55.9726,0
22,16,-60,10,3,-55.9726,0
23,16,-60,10,3,-55.9726,0
24,16,-60,10,3,-55.9726,100
25,16,-60,10,3,-55.9726,0
26,16,-60,10,3,-55.9726,0
27,16,-60,10,3,-55.9726,0
28,16,-60,10,3,-55.9726,100
29,16,-60,10,3,-55.9726,100
30,16,-60,10,3,-55.9726,100
31,16,-60,10,3,-55.9726,100
32,16,-60,10,3,-55.9726,100
33,16,-60,10,3,-55.9726,0
34,16,-60,10,3,-55.9726,0
35,16,-60,10,3,-55.9726,0
36,16,-60,10,3,-55.9726,100
37,16,-60,10,3,-55.9726,0
38,16,-60,10,3,-55.9726,0
39,16,-60,10,3,-55.9726,0
40,16,-60,10,3,-55.9726,100
41,16,-60,10,3,-55.9726,0
42,16,-60,10,3,-55.9726,100
43,16,-60,10,3,-55.9726,0
44,16,-60,10,3,-55.9726,0
45,16,-60,10,3,-55.9726,0
46,16,-60,10,3,-55.9726,0
47,16,-60,10,3,-55.9726,0
48,16,-60,10,3,-55.9726,0
49,16,-60,10,3,-55.9726,0
50,16,-60,10,3,-55.9726,0
51,16,-60,10,3,-55.9726,0
52,16,-60,10,3,-55.9726,0
53,16,-60,10,3,-55.9726,0
54,16,-60,10,3,-55.9726,0
55,16,-60,10,3,-55.9726,0
56,16,-60,10,3,-55.9726,0
57,16,-60,10,3,-55.9726,0
58,16,-60,10,3,-55.9726,0
59,16,-60,10,3,-55.9726,0
60,16,-60,10,3,-55.9726,0
61,16,-60,10,3,-55.9726,0
62,16,-60,10,3,-55.9726,0
63,16,-60,10,3,-55.9726,0
64,16,-60,10,3,-55.9726,0
65,16,-60,10,3,-55.9726,0
66,16,-60,10,3,-55.9726,0
67,16,-60,10,3,-55.9726,0
68,16,-60,10,3,-55.9726,0
69,16,-60,10,3,-55.9726,100
70,16,-60,10,3,-55.9726,0
71,16,-60,10,3,-55.9726,0
72,16,-60,10,3,-55.9726,0
73,16,-60,10,3,-55.9726,0
74,16,-60,10,3,-55.9726,0
75,16,-60,10,3,-55.9726,0
76,16,-60,10,3,-55.9726,0
77,16,-60,10,3,-55.9726,0
78,16,-60,10,3,-55.9726,0
79,16,-60,10,3,-55.9726,0
80,16,-60,10,3,-55.9726,0
81,16,-60,10,3,-55.9726,0
82,16,-60,10,3,-55.9726,0
83,16,-60,10,3,-55.9726,0
84,16,-60,10,3,-55.9726,0
85,16,-60,10,3,-55.9726,0
86,16,-60,10,3,-55.9726,0
87,16,-60,10,3,-55.9726,0
88,16,-60,10,3,-55.9726,0
89,16,-60,10,3,-55.9726,0
90,16,-60,10,3,-55.9726,0
91,16,-60,10,3,-55.9726,0
92,16,-60,10,3,-55.9726,100
93,16,-60,10,3,-55.9726,0
94,16,-60,10,3,-55.9726,0
95,16,-60,10,3,-55.9726,0
96,16,-60,10,3,-55.9726,0
97,16,-60,10,3,-55.9726,0
98,16,-60,10,3,-55.9726,0
99,16,-60,10,3,-55.9726,100
